Date,Open,High,Low,Close,Volume
12-Oct-21,800.93,812.32,796.57,805.72,"22,020,040"
13-Oct-21,810.47,815.41,805.78,811.08,"14,120,075"
14-Oct-21,815.49,820.25,813.35,818.32,"12,247,170"
15-Oct-21,823.74,843.21,822.35,843.03,"18,924,567"
18-Oct-21,851.79,875.26,851.47,870.11,"24,207,244"
19-Oct-21,877.53,877.95,862.51,864.27,"17,381,128"
20-Oct-21,865.35,869.49,857.38,865.8,"14,032,052"
21-Oct-21,856,900,855.5,894,"31,481,454"
22-Oct-21,895.5,910,890.96,909.68,"22,880,835"
25-Oct-21,950.53,"1,045.02",944.2,"1,024.86","62,852,099"
26-Oct-21,"1,024.69","1,094.94","1,001.44","1,018.43","62,414,968"
27-Oct-21,"1,039.66","1,070.88","1,030.78","1,037.86","38,526,459"
28-Oct-21,"1,068.31","1,081.00","1,054.20","1,077.04","27,213,173"
29-Oct-21,"1,081.86","1,115.21","1,073.21","1,114.00","29,918,417"
1-Nov-21,"1,145.00","1,209.75","1,118.66","1,208.59","56,048,716"
2-Nov-21,"1,159.36","1,208.59","1,146.00","1,172.00","42,737,797"
3-Nov-21,"1,177.33","1,215.39","1,152.62","1,213.86","34,628,519"
4-Nov-21,"1,234.41","1,243.49","1,217.00","1,229.91","25,397,410"
5-Nov-21,"1,228.00","1,239.87","1,208.00","1,222.09","21,628,812"
8-Nov-21,"1,149.79","1,197.00","1,133.00","1,162.94","33,445,715"
9-Nov-21,"1,173.60","1,174.50","1,011.52","1,023.50","59,105,836"
10-Nov-21,"1,010.41","1,078.10",987.31,"1,067.95","42,802,722"
11-Nov-21,"1,102.77","1,104.97","1,054.68","1,063.51","22,396,568"
12-Nov-21,"1,047.50","1,054.50","1,019.20","1,033.42","25,573,148"
15-Nov-21,"1,017.63","1,031.98",978.6,"1,013.39","34,775,649"
16-Nov-21,"1,003.31","1,057.20","1,002.18","1,054.73","26,542,359"
17-Nov-21,"1,063.51","1,119.64","1,055.50","1,089.01","31,445,365"
18-Nov-21,"1,106.55","1,112.00","1,075.02","1,096.38","20,898,930"
19-Nov-21,"1,098.87","1,138.72","1,092.70","1,137.06","21,642,258"
22-Nov-21,"1,162.33","1,201.95","1,132.43","1,156.87","33,072,509"
23-Nov-21,"1,167.51","1,180.50","1,062.70","1,109.03","36,171,700"
24-Nov-21,"1,080.39","1,132.77","1,062.00","1,116.00","22,560,238"
26-Nov-21,"1,099.47","1,108.78","1,081.00","1,081.92","11,680,890"
29-Nov-21,"1,100.99","1,142.67","1,100.19","1,136.99","19,464,467"
30-Nov-21,"1,144.37","1,168.00","1,118.00","1,144.76","27,092,038"
1-Dec-21,"1,160.70","1,172.84","1,090.76","1,095.00","22,934,698"
2-Dec-21,"1,099.06","1,113.00","1,056.65","1,084.60","24,371,623"
3-Dec-21,"1,084.79","1,090.58","1,000.21","1,014.97","30,773,995"
6-Dec-21,"1,001.51","1,021.64",950.5,"1,009.01","27,221,037"
7-Dec-21,"1,044.20","1,057.67","1,026.81","1,051.75","18,694,857"
8-Dec-21,"1,052.71","1,072.38","1,033.00","1,068.96","13,968,790"
9-Dec-21,"1,060.64","1,062.49","1,002.36","1,003.80","19,812,832"
10-Dec-21,"1,008.75","1,020.98",982.53,"1,017.03","19,888,122"
13-Dec-21,"1,001.09","1,005.00",951.42,966.41,"26,198,502"
14-Dec-21,945,966.41,930,958.51,"23,602,090"
15-Dec-21,953.21,978.75,928.25,975.99,"25,056,410"
16-Dec-21,994.5,994.98,921.85,926.92,"27,590,483"
17-Dec-21,914.77,960.66,909.04,932.57,"33,626,754"
20-Dec-21,910.7,921.69,893.39,899.94,"18,826,671"
21-Dec-21,916.87,939.5,886.12,938.53,"23,839,305"
22-Dec-21,965.66,"1,015.66",957.05,"1,008.87","31,211,362"
23-Dec-21,"1,006.80","1,072.98",997.56,"1,067.00","30,904,429"
27-Dec-21,"1,073.67","1,117.00","1,070.72","1,093.94","23,715,273"
28-Dec-21,"1,109.49","1,119.00","1,078.42","1,088.47","20,107,969"
29-Dec-21,"1,098.64","1,104.00","1,064.14","1,086.19","18,718,015"
30-Dec-21,"1,061.33","1,095.55","1,053.15","1,070.34","15,680,313"
31-Dec-21,"1,073.44","1,082.00","1,054.59","1,056.78","13,577,875"
3-Jan-22,"1,147.75","1,201.07","1,136.04","1,199.78","34,895,349"
4-Jan-22,"1,189.55","1,208.00","1,123.05","1,149.59","33,416,086"
5-Jan-22,"1,146.65","1,170.34","1,081.01","1,088.12","26,706,599"
6-Jan-22,"1,077.00","1,088.00","1,020.50","1,064.70","30,112,158"
7-Jan-22,"1,080.37","1,080.93","1,010.00","1,026.96","28,054,916"
10-Jan-22,"1,000.00","1,059.10",980,"1,058.12","30,604,959"
11-Jan-22,"1,053.67","1,075.85","1,038.82","1,064.40","22,021,070"
12-Jan-22,"1,078.85","1,114.84","1,072.59","1,106.22","27,913,005"
13-Jan-22,"1,109.07","1,115.60","1,026.54","1,031.56","32,403,264"
14-Jan-22,"1,019.88","1,052.00","1,013.38","1,049.61","24,308,137"
18-Jan-22,"1,026.61","1,070.79","1,016.06","1,030.51","22,329,803"
19-Jan-22,"1,041.71","1,054.67",995,995.65,"25,147,496"
20-Jan-22,"1,009.73","1,041.66",994,996.27,"23,496,248"
21-Jan-22,996.34,"1,004.55",940.5,943.9,"34,472,009"
24-Jan-22,904.76,933.51,851.47,930,"50,791,714"
25-Jan-22,914.2,951.26,903.21,918.4,"28,865,302"
26-Jan-22,952.43,987.69,906,937.41,"34,955,761"
27-Jan-22,933.36,935.39,829,829.1,"49,036,523"
28-Jan-22,831.56,857.5,792.01,846.35,"44,929,650"
31-Jan-22,872.71,937.99,862.05,936.72,"34,812,032"
1-Feb-22,935.21,943.7,905,931.25,"24,379,446"
2-Feb-22,928.18,931.5,889.41,905.66,"22,264,345"
3-Feb-22,882,937,880.52,891.14,"26,285,186"
4-Feb-22,897.22,936.5,881.17,923.32,"24,541,822"
7-Feb-22,923.79,947.77,902.71,907.34,"20,331,488"
8-Feb-22,905.53,926.29,894.8,922,"16,909,671"
9-Feb-22,935,946.27,920,932,"17,419,848"
10-Feb-22,908.37,943.81,896.7,904.55,"22,042,277"
11-Feb-22,909.63,915.96,850.7,860,"26,548,623"
14-Feb-22,861.57,898.88,853.15,875.76,"22,585,472"
15-Feb-22,900,923,893.38,922.43,"19,216,514"
16-Feb-22,914.05,926.43,901.21,923.39,"17,098,132"
17-Feb-22,913.26,918.5,874.1,876.35,"18,392,806"
18-Feb-22,886,886.87,837.61,856.98,"22,833,947"
22-Feb-22,834.13,856.73,801.1,821.53,"27,762,734"
23-Feb-22,830.43,835.3,760.56,764.04,"31,752,336"
24-Feb-22,700.39,802.48,700,800.77,"45,107,425"
25-Feb-22,809.23,819.5,782.4,809.87,"25,355,921"
28-Feb-22,815.01,876.86,814.71,870.43,"33,002,289"
1-Mar-22,869.68,889.88,853.78,864.37,"24,922,287"
2-Mar-22,872.13,886.48,844.27,879.89,"24,881,146"
3-Mar-22,878.77,886.44,832.6,839.29,"20,541,169"
4-Mar-22,849.1,855.65,825.16,838.29,"22,393,287"
7-Mar-22,856.3,866.14,804.57,804.58,"24,164,724"
8-Mar-22,795.53,849.99,782.17,824.4,"26,799,702"
9-Mar-22,839.48,860.56,832.01,858.97,"19,727,993"
10-Mar-22,851.45,854.45,810.36,838.3,"19,549,548"
11-Mar-22,840.2,843.8,793.77,795.35,"22,345,722"
14-Mar-22,780.61,800.7,756.04,766.37,"23,717,421"
15-Mar-22,775.27,805.57,756.57,801.89,"22,280,381"
16-Mar-22,809,842,802.26,840.23,"28,009,607"
